15/11 11:30:00 FINE sim.Admin|Log for simulation 3 started
************************************************************
* Log for simulation 3 started
************************************************************


15/11 11:30:00 INFO sim.TACAdxSimulation|TACAA Simulation 3 is setting up...
15/11 11:30:00 INFO sim.TACAdxSimulation|Created Adx Agent
15/11 11:30:00 INFO sim.TACAdxSimulation|Created Demand Agent
15/11 11:30:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
15/11 11:30:00 FINE sim.ExternalAgent|sample setup with address adv1
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
15/11 11:30:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
15/11 11:30:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
15/11 11:30:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
15/11 11:30:00 INFO agents.DemandAgent|setting up...
15/11 11:30:00 FINE agents.DemandAgent|Finished setup
15/11 11:30:01 INFO sim.Simulation|***** START OF TIME 0 *****
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1045934031, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.7343453917690947, mobileCoef=1.5148694475749913, budgetMillis=1932, advertiser=adv1]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@7b40fa00
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=463813514, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.4161081169492054, mobileCoef=1.5673032801262492, budgetMillis=3037, advertiser=DummyAdnetwork]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@38d3cec4
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=169401151, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.6977823050787815, mobileCoef=1.5029597375901085, budgetMillis=6507, advertiser=DummyAdnetwork-2]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@24d8c912
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=490464084, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.3931182927310215, mobileCoef=1.553774239121435, budgetMillis=3037, advertiser=DummyAdnetwork-3]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@3b38abd9
15/11 11:30:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2008374946, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.610343400051606, mobileCoef=1.8571514536663307, budgetMillis=1932, advertiser=DummyAdnetwork-4]
15/11 11:30:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@6cf23e4c event: tau.tac.adx.messages.UserClassificationServiceNotification@1547891f
